SampleID	Pyruvate.Oxidation	Alcohol.Utilization	Lactate.Utilization	Acetogenesis	Acetate.to.Acetyl-CoA	Pyruvate.to.Acetyl-CoA 	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_1131a	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_1161b	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_125	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_126	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_130	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_17a	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_1CM17D	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_2102	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_2103	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_2CM32C	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_2CM36K	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_2CM37A	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_2CM41L	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_303	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_802	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_A22	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_A25	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Acetaldehyde.to.Ethanol
P_AC163	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_ACER1	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_APAL1	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_APM04	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_B7P1	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_B95	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_BMB	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_BZA4	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_BZB3	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_BZK2	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
