ACC,metoncholaimus.1,sphaerolaimus.1,sphaerolaimus.2,oncholaimidae.1,oncholaimidae.2,thoracostoma.10,thoracostoma.11,epacanthion.1,epacanthion.2,thoracostoma.1,pontonema.1,oncholaimidae.3,pontonema.2,thoracostoma.2,oncholaimidae.4,thoracostoma.3,pontonema.3,thoracostoma.4,thoracostoma.5,oncholaimidae.5,oncholaimidae.6,oncholaimidae.7,oncholaimidae.8,sphaerolaimus.3,thoracostoma.6,thoracostoma.7,oncholaimidae.9,epacanthion.3,enoplolaimus.1,enoplolaimus.2,thoracostoma.8,thoracostoma.9,adoncholaimus.1,adoncholaimus.2,adoncholaimus.3,adoncholaimus.4,adoncholaimus.5,adoncholaimus.6,adoncholaimus.7,adoncholaimus.8,adoncholaimus.9,adoncholaimus.10,adoncholaimus.11
P_1131a,0.134682421,0.000344555,0.003133848,0.00237161,0.001095885,1.33E-05,0,0.00068989,0,0,0,0,0,0,0.000151133,0,0,0,0,0.000911064,0,0,0,1.79E-05,0,0,0,0,0,0,0,0,0,0,2.36E-05,0,0,0,0,0,2.12E-06,0,0
P_1161b,6.92163147,0.090053081,0.449907727,0.104681133,0.136946573,7.42E-06,2.77E-05,0.001733753,0,0,3.34E-05,0,0,0,0.000224233,0,0,0,0,0.014943398,0,0,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10E-06,4.73E-06,0,1.52E-05
P_125,0.101233008,0.001217758,0.001619075,0.002660943,0.001025254,2.01E-05,3.58E-06,0.000174163,7.70E-05,0,0,0,0,0,0.000186781,0,0,0,0,0.00097077,0,0,0,9.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_126,0.010416404,0.000405747,0.003707579,0.001489495,0.001260148,0.000162708,0.000153451,0.001880158,0.00021559,9.37E-05,3.52E-05,1.10E-05,9.67E-05,1.38E-05,0.002086811,0.000380492,5.02E-05,8.13E-05,3.10E-05,0.001641348,0,0,0,0.004546904,0,0.000181257,0,0.000669604,0,0,0.000131355,7.66E-05,0,0,2.23E-05,3.73E-05,0,0,0,2.99E-06,3.39E-05,1.05E-05,1.79E-05
P_130,2.989898447,0.000970549,0.003209996,0.00422867,0.001089498,1.36E-05,3.63E-06,0.000252376,3.91E-05,0,0,0,0,0,6.93E-05,0,0,0,0,0.000887753,0,0,0,1.84E-05,0,0,0,5.20E-05,0,0,0,0,0,0,8.07E-06,0,0,0,0,0,0,0,0
P_17a,0.164927638,0.000699837,0.002146428,0.003122169,0.001587584,2.02E-05,7.19E-06,0.00060054,0.000154938,0,0,0,1.60E-05,0,0.000286354,0,0,0,0,0.002156908,0,0,0,3.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76E-06
P_1CM17D,2.858692737,0.000933536,0.004021034,0.005538596,0.000857413,3.27E-05,1.40E-05,0.000145651,7.52E-05,0,0,0,0,0,0.000104453,0,0,0,0,0.000842241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34E-05,3.43E-05,0,0,0,0,0,2.68E-06
P_2102,0.001815284,0,0.000619204,0,0.000136924,2.51E-05,6.69E-06,0.000511713,0.000216034,0,0,0,0,1.39E-05,0.000900755,0,0,0,0,0.002125028,0,0,0,6.78E-05,0,2.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_2103,0.001594986,0,0.000135469,8.16E-05,1.50E-05,3.70E-05,6.58E-06,0.000412186,0,0,1.39E-05,0,0,0,0.000528304,0,0,0,0,0.002160825,0,0,0,5.00E-05,0,0,0,0,0,0,1.30E-05,0,0,0,0,0,0,0,0,0,1.97E-06,0,0
P_2CM32C,0.16653192,0.41316618,0.612883045,1.815282324,1.457547364,0.178202319,0.127227113,0.059668507,0.017058622,0.036891844,0.061919988,0.065427644,0.066649345,0.348300283,0.007753593,0.169729518,0.176891375,0.386481042,0.36114152,0.019202523,0.18584716,0.073984076,0.022305138,0.134208657,0.057976899,0.245379276,0.081718737,0.113755809,0.270289414,0.150005961,0.245109456,0.182080691,0.162453007,0.064042474,0.112605801,0.087679027,0.146673595,0.040614294,0.104464659,0.06989117,0.059533817,0.117501333,0.042165732
P_2CM36K,1.07220014,0.005818467,0.033866064,0.011354939,0.010304119,2.32E-05,3.71E-05,0.000516508,0,0,0,0,0,0,0.000275839,0,0,0,0,0.007199907,0,0,0,6.27E-05,0,0,0,0,0,0,0,0,0,0,1.83E-05,0,0,0,0,0,4.93E-06,0,0
P_2CM37A,2.889016903,0.000699125,0.00428849,0.004010134,0.001406117,6.74E-06,2.51E-05,0.000149982,0.000154781,0,7.58E-06,0,0,0,4.58E-05,0,0,0,0,0.000597198,0,0,0,0,0,0,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0
P_2CM41L,2.66831838,0.000599702,0.002102069,0.004804871,0.001250231,4.62E-05,7.04E-06,0.000465602,0.000113802,0,0,0,0,0,0.000143583,0,0,0,0,0.001612198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35E-05,0,0,0,0,0,0,0,5.41E-06
