SampleID	GH001	GH002	GH003	GH005	GH008	GH009	GH010	GH013	GH014	GH015	GH016	GH018	GH019	GH020	GH023	GH024	GH025	GH026	GH028	GH029	GH031	GH032	GH033	GH036	GH037	GH039	GH043	GH050	GH053	GH063	GH068	GH073	GH077	GH078	GH081	GH086	GH087	GH088	GH092	GH094	GH097	GH099	GH103	GH104	GH105	GH106	GH108	GH109	GH110	GH114	GH117	GH130	GH141	GH146	GH150	GH166	GH167	GH171	GH177	GH179	PL001	PL005	PL006	PL007	PL012	PL014	PL017	PL018	PL022	PL024	PL025	PL029	PL038	PL040	PL041	PL042
P_1131a	1	1	2	0	1	0	0	9	0	1	4	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	1	1	0	0	0	3	1	1	0	2	1	0	0	0	0	0	0	0	0
P_1161b	1	0	2	0	0	0	0	8	0	1	1	2	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_125	1	1	2	0	1	0	0	9	0	1	3	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_126	1	1	2	0	1	0	0	9	0	1	2	2	0	1	6	0	0	0	0	0	0	0	1	0	1	0	7	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_130	1	1	2	4	1	0	0	10	0	1	1	0	0	0	5	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	3	1	1	0	2	1	0	0	0	0	0	0	0	0
P_17a	1	1	2	0	2	0	3	9	0	1	3	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_1CM17D	1	1	2	0	1	0	0	10	0	1	4	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	3	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_2102	1	0	2	0	1	0	0	9	0	1	1	2	0	1	6	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_2103	1	0	2	0	1	0	0	9	0	1	1	2	0	1	6	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_2CM32C	2	1	5	0	1	1	0	10	0	1	1	0	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_2CM36K	1	0	2	0	0	0	0	8	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P_2CM37A	1	1	2	0	1	0	0	11	0	1	5	0	1	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_2CM41L	2	1	3	0	1	0	0	10	0	1	5	0	0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
P_303	1	3	2	0	1	0	0	9	0	1	1	2	0	2	6	0	0	0	0	0	1	0	0	0	2	0	8	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_802	1	0	2	0	1	0	0	9	0	1	1	2	0	1	6	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_A22	1	0	2	0	0	0	0	6	0	1	2	5	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_A25	1	0	2	1	0	0	0	7	0	1	0	4	1	2	6	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_AC163	2	1	3	1	1	0	0	10	0	0	1	0	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	4	1	0	0	2	1	0	0	0	0	0	0	0	0
P_ACER1	1	1	2	0	0	0	0	7	0	1	1	2	0	2	7	1	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
P_APAL1	2	0	3	0	1	0	0	9	0	1	2	2	0	1	5	0	0	0	0	1	0	0	1	0	1	0	7	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_APM04	1	2	4	0	1	1	0	9	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_B7P1	1	1	3	0	1	0	0	9	0	1	1	2	0	2	7	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_B95	0	0	2	1	0	0	0	7	0	2	1	9	2	3	6	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P_BMB	1	0	2	0	0	0	0	6	0	1	2	6	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_BZA4	1	1	3	0	1	0	0	9	0	1	1	2	0	2	7	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_BZB3	0	0	2	0	0	0	0	6	0	0	1	2	2	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_BZK2	2	1	3	0	0	0	0	8	0	1	2	2	0	1	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0
P_C2R02	1	1	5	0	0	0	0	6	1	0	1	2	1	2	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
P_CNAT218	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CNAT2181	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CNAT241	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CNC920	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO109Y	1	1	2	0	1	0	0	9	0	1	1	2	0	1	5	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO133X	1	0	2	0	1	0	0	7	0	1	1	3	1	5	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO302Y	1	0	2	0	1	0	0	7	0	1	1	3	1	5	5	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO325X	1	0	2	0	0	0	0	7	0	1	1	3	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO342X	1	0	2	0	0	0	0	6	0	1	2	4	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P_CO348	1	0	2	0	0	0	0	7	0	1	2	4	1	5	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P_Cn537	1	1	2	0	0	0	0	7	0	1	2	2	0	1	6	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
