Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
P_1131a	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.93	0.00	4442667	0	174	174	112773	112773	25532	25532	448249	448249	40.7	2.76	88.38	11	3989	0	747	4	1	0	0
P_1161b	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	3977583	0	90	90	128019	128019	44195	44195	347147	347147	40.0	2.82	89.12	11	3584	0	750	2	0	0	0
P_125	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.87	0.00	4399556	0	163	163	123059	123059	26991	26991	350557	350557	40.7	3.17	88.43	11	3905	0	747	5	0	0	0
P_126	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.79	0.00	4715813	0	219	219	83905	83905	21533	21533	300605	300605	41.2	2.44	89.13	11	4251	0	742	10	0	0	0
P_130	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	0.00	4337278	743	35	56	215892	163094	123922	77438	1052225	1001985	40.9	1.32	88.64	11	3836	0	750	2	0	0	0
P_17a	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.68	0.00	4374565	0	189	189	107624	107624	23145	23145	464128	464128	40.8	2.57	88.60	11	3935	0	749	3	0	0	0
P_1CM17D	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4509242	1200	29	41	349777	292021	155491	109952	838460	838460	40.8	2.65	88.19	11	3993	0	750	2	0	0	0
P_2102	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.64	0.00	4706109	1008	144	148	177850	177191	32681	31791	640718	640718	41.2	3.04	89.69	11	4266	0	742	10	0	0	0
P_2103	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.84	0.00	4780187	630	294	298	254148	254148	16259	16038	640748	640748	41.1	3.24	89.50	11	4443	0	737	15	0	0	0
P_2CM32C	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4072618	900	29	38	508627	288386	140435	107150	848264	704954	39.7	6.10	89.00	11	3627	0	751	1	0	0	0
P_2CM36K	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	3814709	900	63	72	121501	111032	60550	52969	244094	232644	40.3	2.16	87.35	11	3539	0	749	3	0	0	0
P_2CM37A	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4379019	1200	29	41	596824	596824	151000	106776	851470	833265	40.8	2.77	88.43	11	3881	0	750	2	0	0	0
P_2CM41L	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4466879	1200	45	57	195421	151997	99263	78345	664941	664941	40.9	2.58	88.28	11	3936	0	750	2	0	0	0
P_303	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.92	0.00	4919064	206	217	219	107655	95988	22668	22460	471523	471523	41.1	2.69	89.21	11	4559	0	743	8	1	0	0
P_802	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.49	0.00	4701573	283	129	132	254163	254163	36446	35615	1041910	1041902	41.2	3.10	89.71	11	4253	0	745	7	0	0	0
P_A22	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.31	0.00	5346284	0	2	2	4095939	4095939	2673142	2673142	4095939	4095939	43.4	0.54	88.21	11	4582	1	748	3	0	0	0
P_A25	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.32	20.00	4737839	0	2	2	3887303	3887303	2368919	2368919	3887303	3887303	42.1	0.48	88.82	11	3975	0	749	2	1	0	0
P_AC163	c__Gammaproteobacteria (UID4787)	26	752	296	98.59	2.22	15.38	4779003	192	565	565	16522	16520	8458	8458	105341	105332	39.1	2.30	88.04	11	4765	12	727	13	0	0	0
