reference,querry,ani,alignment_coverage,primary_cluster
P_xiamenensis_PSDB,P_C2R02,0.767361,0.075718016,0
P_JC3,P_C2R02,0.768683,0.080066262,0
P_OF5H5,P_C2R02,0.768689,0.083198271,0
P_P19,P_C2R02,0.768814,0.14583333333333334,0
P_Of11M6,P_C2R02,0.769645,0.079401611,0
P_XMcav11Q,P_C2R02,0.769743,0.07960199,0
P_C2R02,P_xiamenensis_PSDB,0.769804,0.055208333,0
P_Of7M16,P_tunicata_D2,0.769912,0.074433657,0
P_C2R02,P_B95,0.770009,0.081770833,0
P_flavipulchra_LMG20361,P_C2R02,0.770037,0.080928127,0
P_C2R02,P_Of5H6,0.770202,0.072916667,0
P_C2R02,P_DL2H1,0.770398,0.0734375,0
P_Of5H6,P_C2R02,0.770475,0.076756757,0
P_OF7H1,P_C2R02,0.770504,0.07867036,0
P_C2R02,P_OF5H5,0.770579,0.072395833,0
P_peptidolytica_F1250A1,P_C2R02,0.770586,0.085180863,0
P_C2R02,P_M1400202,0.770931,0.069270833,0
P_JC28,P_C2R02,0.770968,0.079912425,0
P_tunicata_D2,P_XMcav2N2,0.771074,0.087772397,0
P_maricaloris_LMG19692,P_C2R02,0.771091,0.078021978,0
P_OANN1,P_C2R02,0.771141,0.079145003,0
P_tunicata_D2,P_XMcav2N,0.771174,0.08535109,0
P_M8,P_C2R02,0.771256,0.076679006,0
P_luteoviolacea_2ta16,P_tunicata_D2,0.771361,0.07293666,0
P_rubra_S2471,P_C2R02,0.771424,0.04887218,0
P_C2R02,P_OF7H1,0.771439,0.0703125,0
P_G4,P_tunicata_D2,0.771474,0.16063675832127353,0
P_SG416,P_G4,0.771495,0.14820473644003057,0
P_C2R02,P_peptidolytica_NBRC101021,0.771499,0.066666667,0
P_C2R02,P_phenolica_S1189,0.771615,0.10364583333333334,0
P_CnMc715,P_C2R02,0.771764,0.071161049,0
P_C2R02,P_flavipulchra_LMG20361,0.771799,0.0703125,0
P_C2R02,P_flavipulchra_S1925,0.771804,0.0734375,0
P_tunicata_D2,P_M1400202,0.771838,0.097457627,0
P_C2R02,P_NJ631,0.771848,0.071354167,0
P_PPB1,P_tunicata_D2,0.771854,0.059313215,0
P_C2R02,P_peptidolytica_DSM14001,0.771927,0.069791667,0
P_C2R02,P_HMSA03,0.771966,0.0703125,0
P_C2R02,P_DL2H6,0.771991,0.0703125,0
P_peptidolytica_NBRC101021,P_C2R02,0.772039,0.08168643,0
P_C2R02,P_JC3,0.772082,0.069791667,0
P_McH17,P_C2R02,0.772132,0.078978622,0
P_G4,P_SG416,0.772161,0.1353111432706223,0
P_phenolica_S3898,P_C2R02,0.772171,0.1264524948735475,0
P_R96,P_C2R02,0.772195,0.04783715,0
P_P19,P_tunicata_D2,0.772273,0.15559895833333334,0
P_C2R02,P_citrea_S2231,0.772299,0.086458333,0
P_tunicata_D2,P_G4,0.772304,0.13075060532687652,0
P_C2R02,P_M8,0.772325,0.075520833,0
P_peptidolytica_DSM14001,P_C2R02,0.772381,0.078455039,0
P_flavipulchra_ATCCBAA314,P_C2R02,0.772458,0.081903708,0
P_G4,P_EB27,0.772502,0.15267727930535455,0
P_luteoviolacea_2ta16,P_C2R02,0.772594,0.06621881,0
P_C2R02,P_DL2H22,0.772625,0.044270833333333336,0
P_McH142,P_C2R02,0.772626,0.050739958,0
P_C2R02,P_OOF1S7,0.772694,0.05,0
P_phenolica_KCTC12086,P_C2R02,0.772697,0.11159062885326756,0
P_ruthenica_S2756,P_C2R02,0.772699,0.068832173,0
P_rubra_S2471,P_tunicata_D2,0.772718,0.062298604,0
P_C2R02,P_luteoviolacea_2ta16,0.77275,0.069791667,0
P_17a,P_C2R02,0.772778,0.14854299928926795,0
P_SMS1,P_C2R02,0.772817,0.07360673,0
