genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
P_Of7M16.fna,0_1,0.050000000000000044,average,fastANI,0
P_luteoviolacea_2ta16.fna,0_1,0.050000000000000044,average,fastANI,0
P_P94.fna,0_2,0.050000000000000044,average,fastANI,0
P_B95.fna,0_3,0.050000000000000044,average,fastANI,0
P_SMS1.fna,0_4,0.050000000000000044,average,fastANI,0
P_McH142.fna,0_5,0.050000000000000044,average,fastANI,0
P_PPB1.fna,0_5,0.050000000000000044,average,fastANI,0
P_R96.fna,0_6,0.050000000000000044,average,fastANI,0
P_rubra_SCSIO_6842.fna,0_6,0.050000000000000044,average,fastANI,0
P_rubra_DSM6842.fna,0_7,0.050000000000000044,average,fastANI,0
P_XMcav2N.fna,0_8,0.050000000000000044,average,fastANI,0
P_XMcav2N2.fna,0_8,0.050000000000000044,average,fastANI,0
P_DL2H22.fna,0_9,0.050000000000000044,average,fastANI,0
P_rubra_S2471.fna,0_9,0.050000000000000044,average,fastANI,0
P_rubra_S1946.fna,0_10,0.050000000000000044,average,fastANI,0
P_viridis_BBR56.fna,0_10,0.050000000000000044,average,fastANI,0
P_OOF1S7.fna,0_11,0.050000000000000044,average,fastANI,0
P_UG31.fna,0_12,0.050000000000000044,average,fastANI,0
P_UG32.fna,0_12,0.050000000000000044,average,fastANI,0
P_McH17.fna,0_13,0.050000000000000044,average,fastANI,0
P_SCSIO43201.fna,0_13,0.050000000000000044,average,fastANI,0
P_peptidolytica_DSM14001.fna,0_13,0.050000000000000044,average,fastANI,0
P_peptidolytica_F1250A1.fna,0_13,0.050000000000000044,average,fastANI,0
P_peptidolytica_NBRC101021.fna,0_13,0.050000000000000044,average,fastANI,0
P_M1400202.fna,0_14,0.050000000000000044,average,fastANI,0
P_galatheae_S4498.fna,0_14,0.050000000000000044,average,fastANI,0
P_A22.fna,0_15,0.050000000000000044,average,fastANI,0
P_BMB.fna,0_15,0.050000000000000044,average,fastANI,0
P_CO342X.fna,0_15,0.050000000000000044,average,fastANI,0
P_CO348.fna,0_15,0.050000000000000044,average,fastANI,0
P_DL2H1.fna,0_15,0.050000000000000044,average,fastANI,0
P_DL2H6.fna,0_15,0.050000000000000044,average,fastANI,0
P_HMSA03.fna,0_15,0.050000000000000044,average,fastANI,0
P_JC28.fna,0_15,0.050000000000000044,average,fastANI,0
P_JC3.fna,0_15,0.050000000000000044,average,fastANI,0
P_JC31.fna,0_15,0.050000000000000044,average,fastANI,0
P_M8.fna,0_15,0.050000000000000044,average,fastANI,0
P_NJ631.fna,0_15,0.050000000000000044,average,fastANI,0
P_OANN1.fna,0_15,0.050000000000000044,average,fastANI,0
P_OF5H5.fna,0_15,0.050000000000000044,average,fastANI,0
P_OF7H1.fna,0_15,0.050000000000000044,average,fastANI,0
P_Of11M6.fna,0_15,0.050000000000000044,average,fastANI,0
P_Of5H6.fna,0_15,0.050000000000000044,average,fastANI,0
P_XMcav11Q.fna,0_15,0.050000000000000044,average,fastANI,0
P_flavipulchra_ATCCBAA314.fna,0_15,0.050000000000000044,average,fastANI,0
P_flavipulchra_LMG20361.fna,0_15,0.050000000000000044,average,fastANI,0
P_flavipulchra_NCIMB2033.fna,0_15,0.050000000000000044,average,fastANI,0
P_flavipulchra_S1925.fna,0_15,0.050000000000000044,average,fastANI,0
P_flavipulchra_SCSIO43202.fna,0_15,0.050000000000000044,average,fastANI,0
P_maricaloris_LMG19692.fna,0_15,0.050000000000000044,average,fastANI,0
P_CNAT218.fna,0_16,0.050000000000000044,average,fastANI,0
P_CNAT2181.fna,0_16,0.050000000000000044,average,fastANI,0
P_CNAT241.fna,0_16,0.050000000000000044,average,fastANI,0
P_CNC920.fna,0_16,0.050000000000000044,average,fastANI,0
P_CO325X.fna,0_16,0.050000000000000044,average,fastANI,0
P_CnMc713.fna,0_16,0.050000000000000044,average,fastANI,0
P_CnMc715.fna,0_16,0.050000000000000044,average,fastANI,0
P_MM172.fna,0_16,0.050000000000000044,average,fastANI,0
P_SW010604.fna,0_16,0.050000000000000044,average,fastANI,0
P_ruthenica_LMG19699.fna,0_16,0.050000000000000044,average,fastANI,0
P_ruthenica_S2756.fna,0_16,0.050000000000000044,average,fastANI,0
P_ruthenica_S3245.fna,0_16,0.050000000000000044,average,fastANI,0
P_citrea_S2231.fna,0_17,0.050000000000000044,average,fastANI,0
P_citrea_S2233.fna,0_17,0.050000000000000044,average,fastANI,0
P_aurantia_S3788.fna,0_18,0.050000000000000044,average,fastANI,0
P_aurantia_S3790.fna,0_18,0.050000000000000044,average,fastANI,0
P_aurantia_S3895.fna,0_18,0.050000000000000044,average,fastANI,0
P_citrea_DSM8771.fna,0_19,0.050000000000000044,average,fastANI,0
P_aurantia_208.fna,0_20,0.050000000000000044,average,fastANI,0
P_JW3.fna,0_21,0.050000000000000044,average,fastANI,0
P_amylolytica_JW1.fna,0_21,0.050000000000000044,average,fastANI,0
P_A25.fna,0_22,0.050000000000000044,average,fastANI,0
P_xiamenensis_PSDB.fna,0_23,0.050000000000000044,average,fastANI,0
P_bablabjr011.fna,0_24,0.050000000000000044,average,fastANI,0
P_donghaensis_HJ51.fna,0_24,0.050000000000000044,average,fastANI,0
P_lipolytica_CSB02KR.fna,0_24,0.050000000000000044,average,fastANI,0
P_lipolytica_LMEB39.fna,0_24,0.050000000000000044,average,fastANI,0
P_CO133X.fna,0_25,0.050000000000000044,average,fastANI,0
P_CO302Y.fna,0_25,0.050000000000000044,average,fastANI,0
P_N12309.fna,0_25,0.050000000000000044,average,fastANI,0
P_APAL1.fna,0_26,0.050000000000000044,average,fastANI,0
P_MEBiC03607.fna,0_26,0.050000000000000044,average,fastANI,0
P_OFAV1.fna,0_26,0.050000000000000044,average,fastANI,0
P_Ps84H4.fna,0_26,0.050000000000000044,average,fastANI,0
P_bablabjr004.fna,0_26,0.050000000000000044,average,fastANI,0
P_FE4.fna,0_27,0.050000000000000044,average,fastANI,0
P_M1318928.fna,0_27,0.050000000000000044,average,fastANI,0
P_SCSIO43101.fna,0_27,0.050000000000000044,average,fastANI,0
P_Hal040.fna,0_28,0.050000000000000044,average,fastANI,0
P_gelatinilytica_NH153.fna,0_28,0.050000000000000044,average,fastANI,0
P_porphyrae_MNAD16.fna,0_28,0.050000000000000044,average,fastANI,0
P_ACER1.fna,0_29,0.050000000000000044,average,fastANI,0
P_BZK2.fna,0_29,0.050000000000000044,average,fastANI,0
P_Cn537.fna,0_29,0.050000000000000044,average,fastANI,0
P_MB47.fna,0_29,0.050000000000000044,average,fastANI,0
P_PA2MD11.fna,0_29,0.050000000000000044,average,fastANI,0
P_PAST1.fna,0_29,0.050000000000000044,average,fastANI,0
P_bablabjr010.fna,0_29,0.050000000000000044,average,fastANI,0
P_126.fna,0_30,0.050000000000000044,average,fastANI,0
P_2102.fna,0_30,0.050000000000000044,average,fastANI,0
P_2103.fna,0_30,0.050000000000000044,average,fastANI,0
P_303.fna,0_30,0.050000000000000044,average,fastANI,0
P_802.fna,0_30,0.050000000000000044,average,fastANI,0
P_B7P1.fna,0_30,0.050000000000000044,average,fastANI,0
P_BZA4.fna,0_30,0.050000000000000044,average,fastANI,0
P_CO109Y.fna,0_30,0.050000000000000044,average,fastANI,0
P_CnMc737.fna,0_30,0.050000000000000044,average,fastANI,0
P_D15MCD2.fna,0_30,0.050000000000000044,average,fastANI,0
P_P18.fna,0_30,0.050000000000000044,average,fastANI,0
P_SCSIO43088.fna,0_30,0.050000000000000044,average,fastANI,0
P_SDCH90.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_28.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_BMC2.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_BMC3.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_BMC4.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_BMC5.fna,0_30,0.050000000000000044,average,fastANI,0
P_shioyasakiensis_G21653S1.fna,0_30,0.050000000000000044,average,fastANI,0
