	P_C2R02	P_bablabjr011	P_donghaensis_HJ51	P_lipolytica_CSB02KR	P_lipolytica_LMEB39	P_N12309	P_CO133X	P_CO302Y	P_OFAV1	P_Ps84H4	P_MEBiC03607	P_APAL1	P_bablabjr004	P_SCSIO43101	P_FE4	P_M1318928	P_Hal040	P_gelatinilytica_NH153	P_porphyrae_MNAD16	P_PA2MD11	P_BZK2	P_MB47	P_bablabjr010	P_Cn537	P_ACER1	P_PAST1	P_SDCH90	P_303	P_shioyasakiensis_BMC4	P_B7P1	P_BZA4	P_shioyasakiensis_28	P_shioyasakiensis_BMC2	P_shioyasakiensis_BMC3	P_shioyasakiensis_BMC5	P_2102	P_2103	P_802	P_D15MCD2	P_shioyasakiensis_M1400201	P_126	P_P18	P_shioyasakiensis_LC2	P_SCSIO43088	P_shioyasakiensis_G21653S1	P_CnMc737	P_CO109Y	P_neustronica_PAMC28425	P_ostereae_hOe125	P_ostereae_hOe124	P_ostereae_hOe66	P_SG415	P_SG436	P_SR456	P_SG418	P_SR416	P_SG437	P_SR445	P_SG412	P_SG441	P_rhizosphaerae_hCg42	P_SR414	P_neustronica_SM1927	P_SG411	P_SR448	P_SG448	P_SG4417	P_SR418	P_2CM36K	P_tetradonis_CSB01KR	P_kknpp56	P_SCSIO	P_SCSIO11900	P_S3173	P_SiA1	P_S3260	P_SK20	P_SK18	P_Scap03	P_scap25	P_scap26	P_undina_NEM01	P_undina_NEM02	P_1161b	P_undina_DSM6065	P_2CM32C	P_ECSMB14103	P_APM04	P_DSM	P_17a	P_1131a	P_125	P_1CM17D	P_agarivorans_DSM14585	P_130	P_P111	P_2CM37A	P_2CM41L	P_agarivorans_S816	P_agarivorans_NW4327	P_S2893	P_espejiana_DSM9414	P_NBRC102222	P_NBRC12985	P_S3178	P_translucida_KMM520	P_KMM661	P_SG445	P_SR454	P_aliena_SW19	P_aliena_EH1	P_SG416	P_SG444	P_SG455	P_fuliginea_KMM216	P_fuliginea_S2292	P_AC163	P_TB25	P_distincta_22A13	P_distincta_KMM3548	P_distincta_16SW7	P_distincta_ATCC700518	P_distincta_LMG14908	P_SG453	P_SG456	P_SG431	P_SG452	P_SG433	P_SR417	P_SG435	P_SG434	P_SR435	P_SR433	P_SR451	P_SR411	P_SG451	P_SR455	P_SR442	P_EKP108	P_SR432	P_SR437	P_SR415	P_SG438	P_SR436	P_arctica_NECBIFX0059	P_EB27	P_arctica_A3712	P_arctica_NECBIFX2020001	P_arctica_NECBIFX2020017	P_tunicata_D2	P_xiamenensis_PSDB	P_spongiae_SAO44	P_spongiae_UST010723006	P_MMG024	P_P19	P_G4	P_piratica_OCN003	P_CO325X	P_SW010604	P_MM172	P_ruthenica_S2756	P_ruthenica_LMG19699	P_ruthenica_S3245	P_CnMc713	P_CnMc715	P_CNC920	P_CNAT218	P_CNAT2181	P_CNAT241	P_aurantia_208	P_citrea_DSM8771	P_citrea_S2231	P_citrea_S2233	P_aurantia_S3790	P_aurantia_S3788	P_aurantia_S3895	P_A25	P_amylolytica_JW1	P_JW3	P_phenolica_S3898	P_phenolica_S1093	P_phenolica_S1189	P_phenolica_KCTC12086	P_phenolica_OBC302	P_BZB3	P_phenolica_S3663	P_SMS1	P_B95	P_P94	P_luteoviolacea_2ta16	P_Of7M16	P_McH142	P_PPB1	P_rubra_DSM6842	P_R96	P_rubra_SCSIO_6842	P_XMcav2N	P_XMcav2N2	P_OOF1S7	P_DL2H22	P_rubra_S2471	P_rubra_S1946	P_viridis_BBR56	P_UG31	P_UG32	P_peptidolytica_F1250A1	P_peptidolytica_DSM14001	P_peptidolytica_NBRC101021	P_McH17	P_SCSIO43201	P_galatheae_S4498	P_M1400202	P_OANN1	P_flavipulchra_S1925	P_NJ631	P_A22	P_flavipulchra_SCSIO43202	P_flavipulchra_NCIMB2033	P_flavipulchra_ATCCBAA314	P_flavipulchra_LMG20361	P_CO342X	P_maricaloris_LMG19692	P_BMB	P_CO348	P_OF7H1	P_HMSA03	P_JC28	P_M8	P_XMcav11Q	P_JC3	P_JC31	P_Of11M6	P_DL2H6	P_DL2H1	P_OF5H5	P_Of5H6
P_C2R02	1	0.775848	0.776113	0.774967	0.775972	0.7756	0.774832	0.775113	0.77674	0.776161	0.776643	0.776893	0.777501	0.77722	0.778101	0.775719	0.776081	0.778273	0.776405	0.776346	0.77572	0.777517	0.776664	0.77501	0.776609	0.776775	0.775438	0.776365	0.775889	0.775526	0.776019	0.776608	0.775704	0.775615	0.775173	0.776101	0.775312	0.775676	0.77692	0.776431	0.774674	0.776315	0.776127	0.778323	0.77641	0.776132	0.776134	0.77524	0.77551	0.775845	0.774777	0.776272	0.775769	0.777121	0.775203	0.775775	0.775286	0.776413	0.777163	0.77635	0.777477	0.775749	0.775395	0.776001	0.774441	0.775904	0.775945	0.777167	0.77607	0.774572	0.774774	0.775266	0.776898	0.775241	0.777366	0.773964	0.774471	0.776463	0.776696	0.777047	0.776973	0.775134	0.775177	0.774902	0.776655	0.773797	0.773498	0.775635	0.774742	0.775102	0.777206	0.774956	0.775492	0.775808	0.775832	0.774807	0.775888	0.774912	0.775178	0.775333	0.775799	0.779978	0.778484	0.776263	0.776894	0.778827	0.77698	0.777578	0.778038	0.777688	0.777953	0.774669	0.774925	0.775083	0.774856	0.775164	0.777468	0.777757	0.775936	0.776743	0.776555	0.778206	0.776668	0.776117	0.775954	0.777379	0.776054	0.776511	0.777242	0.776318	0.77605	0.77585	0.776331	0.776058	0.776841	0.775979	0.773957	0.775459	0.774957	0.775089	0.777026	0.775299	0.776433	0.775854	0.773414	0.775722	0.777932	0.77502	0.777543	0.774108	0.769804	0.773483	0.774438	0.773484	0.770495	0.774041	0.772808	0.774276	0.774733	0.774354	0.774215	0.777696	0.77483	0.778587	0.776976	0.774741	0.775642	0.776615	0.77526	0.775701	0.774692	0.772299	0.773141	0.775873	0.775975	0.77534	0.774976	0.776433	0.776299	0.774028	0.773428	0.771615	0.772871	0.7737	0.774117	0.773542	0.774352	0.770009	0.773388	0.77275	0.773126	0.77159	0.773213	0.777892	0.77486	0.776764	0.772771	0.773238	0.772694	0.772625	0.771312	0.774042	0.776597	0.779368	0.779383	0.772455	0.771927	0.771499	0.772061	0.772957	0.772485	0.770931	0.768936	0.771804	0.771848	0.774165	0.774066	0.772863	0.773919	0.771799	0.771784	0.773056	0.774445	0.772961	0.771439	0.771966	0.774854	0.772325	0.772257	0.772082	0.775276	0.770924	0.771991	0.770398	0.770579	0.770202
P_bablabjr011	0.775067	1	0.987387	0.990178	0.988582	0.836344	0.833755	0.833634	0.837349	0.844739	0.838807	0.842849	0.837664	0.838999	0.834279	0.835913	0.836987	0.839622	0.837436	0.83687	0.836277	0.834711	0.842005	0.84368	0.844617	0.844833	0.838939	0.842692	0.84274	0.847577	0.84737	0.836026	0.841265	0.84099	0.841706	0.841282	0.841217	0.841416	0.837247	0.842124	0.840101	0.836925	0.841544	0.840593	0.838107	0.843414	0.838398	0.799026	0.796615	0.796507	0.79642	0.803072	0.795098	0.798193	0.796073	0.796327	0.797707	0.797279	0.795203	0.795146	0.798822	0.796945	0.797059	0.802352	0.795658	0.796423	0.795235	0.795533	0.798766	0.798124	0.798388	0.798579	0.799012	0.798949	0.80105	0.802767	0.803329	0.799039	0.795657	0.795545	0.795194	0.796364	0.796646	0.797083	0.797521	0.794237	0.794921	0.795122	0.79746	0.795371	0.796186	0.796905	0.800385	0.799848	0.798357	0.79952	0.797259	0.798377	0.804632	0.801328	0.801142	0.797408	0.795405	0.795038	0.795444	0.793524	0.793562	0.794496	0.796176	0.793086	0.794175	0.793688	0.793051	0.792987	0.794235	0.793834	0.796262	0.797184	0.795323	0.795926	0.794793	0.796718	0.795325	0.801235	0.800333	0.797008	0.795747	0.797971	0.796016	0.796811	0.796977	0.796667	0.796835	0.795328	0.795239	0.797051	0.795453	0.795319	0.795028	0.796188	0.795204	0.795385	0.796043	0.795525	0.794216	0.796229	0.797625	0.794679	0.796544	0.77743	0.783892	0.788149	0.785072	0.786331	0.781544	0.77805	0.787964	0.783445	0.789907	0.7831	0.780895	0.779862	0.792451	0.781877	0.780808	0.788393	0.786959	0.787191	0.787944	0.785148	0.788448	0.783752	0.786113	0.786783	0.787664	0.786482	0.786171	0.787204	0.78708	0.78716	0.786566	0.788508	0.785945	0.785368	0.787811	0.790245	0.783824	0.785759	0.787166	0.785628	0.786361	0.784068	0.782297	0.783853	0.784665	0.784174	0.784279	0.783773	0.78116	0.781594	0.783449	0.788073	0.796795	0.781148	0.781085	0.783823	0.78439	0.783824	0.784113	0.784323	0.791369	0.783928	0.786996	0.784749	0.785628	0.78914	0.78856	0.788933	0.789529	0.788019	0.78926	0.797176	0.787507	0.786034	0.797992	0.787782	0.791122	0.799366	0.788092	0.798147	0.798439	0.786945	0.789045	0.789063	0.789938	0.788717
P_donghaensis_HJ51	0.778266	0.986969	1	0.989365	0.989351	0.836901	0.833011	0.833312	0.839418	0.840954	0.838986	0.844168	0.83917	0.837032	0.837669	0.83823	0.839281	0.840304	0.840995	0.836116	0.838146	0.83427	0.840571	0.839822	0.83974	0.839279	0.837676	0.84241	0.842424	0.842052	0.842105	0.8397	0.843284	0.843435	0.844052	0.843403	0.843168	0.843084	0.838811	0.843108	0.840609	0.838007	0.842544	0.83966	0.839758	0.845449	0.838806	0.798178	0.798571	0.798095	0.79671	0.804853	0.795092	0.795915	0.795236	0.796062	0.798684	0.795418	0.795229	0.795204	0.801216	0.794609	0.799585	0.799032	0.795971	0.796214	0.795741	0.79677	0.798242	0.799405	0.799358	0.801056	0.800953	0.799559	0.802995	0.797549	0.797357	0.800043	0.799293	0.799301	0.799389	0.798671	0.798679	0.7957	0.797202	0.79571	0.795099	0.800202	0.801574	0.796797	0.798097	0.797429	0.798421	0.801752	0.798764	0.797573	0.796979	0.797796	0.799025	0.798472	0.798299	0.800633	0.796259	0.794982	0.797203	0.797592	0.79627	0.793558	0.794258	0.795447	0.796736	0.793718	0.792587	0.792154	0.794346	0.794531	0.802877	0.80241	0.796993	0.799011	0.799315	0.797578	0.796945	0.799004	0.7982	0.796558	0.79567	0.800901	0.796281	0.79702	0.79694	0.797913	0.796923	0.795694	0.796179	0.795883	0.794898	0.794446	0.796	0.796141	0.79648	0.795597	0.796137	0.79583	0.79474	0.796018	0.7968	0.796469	0.796006	0.78376	0.78937	0.790683	0.786314	0.78306	0.779411	0.778268	0.791669	0.78212	0.789644	0.783513	0.783646	0.789733	0.795606	0.78221	0.7809	0.800072	0.799191	0.798847	0.799149	0.790206	0.790957	0.786128	0.788456	0.786304	0.786664	0.787286	0.790457	0.78851	0.789003	0.785325	0.784853	0.787626	0.790218	0.78889	0.787948	0.790198	0.784736	0.786733	0.786963	0.783792	0.783811	0.784219	0.784091	0.785708	0.784771	0.791727	0.784766	0.785394	0.782085	0.784877	0.782599	0.799138	0.794552	0.786369	0.787427	0.787494	0.786136	0.784749	0.785597	0.793211	0.793897	0.784364	0.784495	0.78454	0.784218	0.792917	0.793576	0.789212	0.788864	0.787861	0.787519	0.796172	0.78578	0.783979	0.783702	0.785043	0.787195	0.792975	0.786511	0.785063	0.792287	0.784042	0.793736	0.794477	0.794294	0.794075
P_lipolytica_CSB02KR	0.776041	0.989766	0.989642	1	0.991181	0.833486	0.832276	0.832117	0.834627	0.834886	0.833449	0.835783	0.835342	0.833697	0.834089	0.8327	0.836849	0.837658	0.838341	0.836017	0.834843	0.833073	0.83575	0.834994	0.833619	0.833119	0.835715	0.835957	0.836215	0.836958	0.837426	0.835574	0.836076	0.836109	0.835903	0.83606	0.83613	0.835816	0.835187	0.83651	0.836463	0.835481	0.836762	0.836777	0.835937	0.838211	0.835853	0.797787	0.796961	0.797462	0.79717	0.794674	0.796009	0.795264	0.79592	0.796402	0.796726	0.794828	0.794638	0.79487	0.795669	0.793821	0.795289	0.79468	0.794516	0.795334	0.795117	0.795085	0.799247	0.799953	0.801365	0.801818	0.801014	0.794245	0.797649	0.796172	0.797006	0.796912	0.797013	0.797583	0.797839	0.796868	0.796671	0.796454	0.797301	0.794148	0.794313	0.794585	0.798099	0.796838	0.797879	0.797605	0.797056	0.798232	0.797297	0.797519	0.795764	0.796492	0.797559	0.796937	0.798063	0.797405	0.79589	0.795371	0.796896	0.795056	0.793698	0.794444	0.795296	0.793957	0.795397	0.791677	0.7906	0.790714	0.794788	0.79552	0.795368	0.796081	0.796149	0.796675	0.79595	0.795808	0.795866	0.796745	0.795882	0.795127	0.794818	0.794442	0.794844	0.797704	0.796843	0.796025	0.796491	0.797079	0.796079	0.796136	0.793675	0.795073	0.794692	0.794711	0.796172	0.794498	0.794182	0.795037	0.795524	0.795458	0.795377	0.795672	0.79546	0.776452	0.781949	0.783712	0.783253	0.781787	0.781208	0.780548	0.782715	0.780278	0.779615	0.782093	0.782585	0.781664	0.781129	0.781451	0.781085	0.780536	0.781635	0.781427	0.781856	0.785574	0.787996	0.784569	0.785719	0.78298	0.783786	0.783454	0.787003	0.788476	0.789093	0.784753	0.784765	0.784259	0.78651	0.785719	0.786238	0.787245	0.784707	0.785773	0.786452	0.783868	0.785565	0.786318	0.784315	0.784546	0.78406	0.785163	0.7855	0.784628	0.778876	0.783838	0.782904	0.786596	0.787084	0.784557	0.784718	0.783299	0.782787	0.782645	0.782879	0.782424	0.785651	0.78443	0.785011	0.784431	0.78442	0.78734	0.788261	0.787916	0.787256	0.786407	0.786024	0.785846	0.785356	0.78463	0.784742	0.783652	0.784174	0.786694	0.787412	0.785349	0.786404	0.785898	0.782703	0.78371	0.783009	0.782939
P_lipolytica_LMEB39	0.775732	0.988316	0.989472	0.990792	1	0.835376	0.831549	0.831418	0.839169	0.838805	0.838976	0.837767	0.837916	0.835614	0.834642	0.835449	0.836143	0.838325	0.839409	0.835122	0.835009	0.833275	0.833893	0.834538	0.835696	0.8361	0.836548	0.837507	0.83785	0.839371	0.839859	0.837907	0.838155	0.838724	0.838405	0.838595	0.83879	0.839095	0.835964	0.836888	0.836553	0.83545	0.836987	0.837699	0.839933	0.839272	0.838583	0.799012	0.796483	0.796412	0.796803	0.793311	0.794886	0.794416	0.794865	0.795236	0.797878	0.794769	0.794462	0.793956	0.799111	0.795925	0.797388	0.79985	0.793806	0.794326	0.794376	0.794184	0.79714	0.797642	0.797514	0.798873	0.797698	0.798198	0.798764	0.798949	0.799078	0.799445	0.797653	0.79654	0.796866	0.795858	0.795577	0.795928	0.795766	0.794807	0.795258	0.798069	0.797504	0.796046	0.797254	0.796314	0.798308	0.799414	0.798475	0.798146	0.7975	0.797571	0.800771	0.797723	0.79758	0.797727	0.796832	0.7933	0.796137	0.794856	0.799016	0.796088	0.794814	0.793074	0.793546	0.792349	0.79193	0.792014	0.79457	0.794709	0.801525	0.801809	0.79528	0.796197	0.796342	0.796196	0.796611	0.799485	0.798571	0.795811	0.796066	0.800084	0.796277	0.797543	0.795306	0.796747	0.797001	0.795775	0.796808	0.795357	0.795192	0.79666	0.794726	0.796326	0.795757	0.794747	0.795402	0.796019	0.7952	0.79555	0.794969	0.794598	0.795267	0.776924	0.783943	0.791666	0.786185	0.784987	0.783243	0.779159	0.787556	0.783671	0.790454	0.782464	0.784838	0.783477	0.798426	0.783545	0.783158	0.802584	0.803392	0.80341	0.803908	0.786487	0.789165	0.785914	0.787625	0.787772	0.787916	0.787447	0.788662	0.788369	0.789418	0.786752	0.785449	0.787457	0.787175	0.786761	0.788541	0.791013	0.785969	0.785856	0.787738	0.784777	0.785613	0.785215	0.783877	0.786842	0.784148	0.784258	0.783723	0.783338	0.780898	0.784931	0.783505	0.803208	0.792492	0.782837	0.7823	0.786457	0.78651	0.78496	0.785005	0.78579	0.791281	0.783208	0.785096	0.783309	0.784161	0.786226	0.785778	0.784895	0.785554	0.784815	0.785053	0.792612	0.78347	0.78271	0.787598	0.785199	0.786308	0.791253	0.786889	0.789866	0.791115	0.78528	0.788544	0.792671	0.79267	0.794383
P_N12309	0.776785	0.835951	0.838079	0.834054	0.836433	1	0.986905	0.986895	0.860965	0.861349	0.861734	0.861762	0.861519	0.863875	0.862194	0.861741	0.873035	0.874164	0.872645	0.866777	0.867127	0.867727	0.869687	0.870422	0.868587	0.868509	0.872738	0.870822	0.870333	0.872645	0.872979	0.873382	0.872795	0.87362	0.872819	0.872573	0.873231	0.872032	0.87353	0.871725	0.871967	0.871642	0.872734	0.87445	0.872896	0.873208	0.872059	0.796664	0.800227	0.799207	0.796957	0.794982	0.7942	0.794926	0.795067	0.794827	0.798301	0.795654	0.795694	0.795209	0.799934	0.794875	0.800208	0.797117	0.79448	0.794013	0.794106	0.793985	0.795038	0.795893	0.796881	0.80083	0.800757	0.79745	0.801623	0.796024	0.796965	0.796584	0.796787	0.7966	0.797596	0.79717	0.798114	0.794509	0.798467	0.795629	0.796007	0.799349	0.797963	0.796927	0.79702	0.79865	0.797858	0.800291	0.798757	0.797407	0.797284	0.797234	0.800048	0.797841	0.797592	0.80024	0.795397	0.795932	0.797977	0.794764	0.797287	0.792568	0.794263	0.794496	0.795942	0.793743	0.792151	0.792632	0.796164	0.795687	0.798029	0.797414	0.793801	0.795193	0.796554	0.794474	0.793276	0.796595	0.795981	0.79383	0.792686	0.798388	0.795273	0.79427	0.793705	0.794634	0.79517	0.794337	0.794344	0.794144	0.793219	0.794793	0.79458	0.794428	0.794503	0.794368	0.794375	0.794372	0.79325	0.792506	0.795598	0.792888	0.79328	0.783652	0.789447	0.794102	0.789769	0.784202	0.782654	0.782219	0.791789	0.782026	0.789544	0.782387	0.783416	0.787433	0.794626	0.783142	0.782304	0.801256	0.799548	0.799676	0.799837	0.790033	0.789143	0.783772	0.785661	0.784513	0.785044	0.783686	0.792481	0.791817	0.792311	0.787049	0.786039	0.786847	0.791021	0.788861	0.786469	0.790399	0.786767	0.785204	0.785736	0.781606	0.78173	0.781813	0.783026	0.784042	0.787058	0.79266	0.782489	0.783247	0.782372	0.780807	0.783275	0.801467	0.788942	0.792243	0.79179	0.78637	0.784397	0.782513	0.784369	0.790555	0.794397	0.78524	0.784922	0.784331	0.781406	0.791921	0.788156	0.786319	0.787183	0.785427	0.785395	0.793237	0.783568	0.782296	0.785416	0.785472	0.787425	0.79202	0.785511	0.783669	0.790924	0.78423	0.793719	0.795828	0.795598	0.794874
P_CO133X	0.776594	0.833427	0.831701	0.833867	0.833087	0.987093	1	0.999998	0.859624	0.860571	0.858785	0.859808	0.860623	0.861186	0.859725	0.859955	0.871639	0.871705	0.871763	0.867081	0.866705	0.869498	0.869394	0.869687	0.868957	0.868776	0.870795	0.870169	0.870138	0.869816	0.870027	0.870319	0.871329	0.871962	0.871385	0.871416	0.871505	0.871417	0.872448	0.873178	0.872433	0.871034	0.872117	0.872953	0.87145	0.871434	0.871776	0.791338	0.795793	0.796924	0.795685	0.79576	0.795265	0.794468	0.795306	0.794893	0.795158	0.795298	0.795103	0.79532	0.79377	0.795514	0.795011	0.793453	0.794606	0.794406	0.793911	0.794421	0.796403	0.796478	0.796392	0.797271	0.796838	0.793142	0.794375	0.79368	0.794068	0.794266	0.793993	0.793643	0.794307	0.795163	0.795197	0.794507	0.795395	0.794746	0.794644	0.795818	0.79456	0.796525	0.797087	0.797001	0.797937	0.798705	0.798536	0.797435	0.797925	0.798476	0.799759	0.798601	0.798593	0.797246	0.797543	0.795733	0.796948	0.793732	0.794399	0.794791	0.796489	0.794021	0.792203	0.792533	0.79229	0.791946	0.79441	0.794204	0.79415	0.792449	0.794867	0.794068	0.794151	0.793503	0.792606	0.795614	0.794673	0.794862	0.794108	0.793704	0.794247	0.794278	0.793971	0.794966	0.794745	0.793807	0.79397	0.794424	0.793862	0.793423	0.79331	0.795608	0.794197	0.793199	0.792779	0.793379	0.792759	0.792141	0.793948	0.793397	0.793721	0.778692	0.783554	0.781687	0.784486	0.784853	0.780381	0.784792	0.779906	0.783092	0.781403	0.781754	0.782647	0.780702	0.781114	0.781701	0.780181	0.780024	0.780513	0.781014	0.781121	0.78614	0.784523	0.7854	0.784875	0.782932	0.782641	0.782418	0.787786	0.785624	0.786107	0.78632	0.786	0.785712	0.785605	0.785481	0.786144	0.788454	0.785513	0.785392	0.78384	0.78285	0.783439	0.782824	0.783459	0.784124	0.782198	0.785817	0.782381	0.783119	0.783784	0.780749	0.782001	0.783338	0.781879	0.781459	0.780982	0.785843	0.785911	0.785112	0.785425	0.785546	0.783241	0.782629	0.782302	0.782669	0.780724	0.786547	0.783973	0.784543	0.784645	0.784948	0.783389	0.783831	0.782704	0.782094	0.783288	0.7848	0.787466	0.785148	0.786673	0.787765	0.787947	0.784691	0.784098	0.784314	0.783512	0.783812
P_CO302Y	0.776796	0.834053	0.831934	0.834137	0.833213	0.987056	0.999998	1	0.859892	0.861053	0.858798	0.860269	0.86054	0.86156	0.860022	0.860804	0.871906	0.871902	0.872089	0.867151	0.866645	0.869547	0.869553	0.869975	0.869376	0.868715	0.870851	0.87053	0.870479	0.870354	0.870554	0.871033	0.871492	0.871712	0.871345	0.871469	0.87128	0.87114	0.87267	0.873337	0.872809	0.871423	0.872212	0.87345	0.872177	0.871331	0.87212	0.791486	0.796102	0.797225	0.795891	0.796287	0.795533	0.79535	0.795632	0.795657	0.795524	0.795306	0.795841	0.79561	0.794657	0.795909	0.79498	0.793659	0.794935	0.794476	0.794193	0.794538	0.796679	0.796305	0.796256	0.797696	0.797172	0.793162	0.795293	0.794616	0.793765	0.794964	0.794822	0.794221	0.795188	0.795248	0.795376	0.794896	0.796064	0.794731	0.794962	0.795735	0.795014	0.796372	0.797298	0.797262	0.798955	0.799718	0.799233	0.79906	0.798358	0.799506	0.800209	0.799336	0.799259	0.797519	0.797948	0.795726	0.796746	0.793976	0.794577	0.794933	0.796476	0.794196	0.792197	0.793069	0.792812	0.792549	0.794412	0.794176	0.794232	0.793142	0.795095	0.794363	0.794514	0.793978	0.792962	0.795289	0.7945	0.794988	0.79436	0.794465	0.794416	0.794824	0.794143	0.795343	0.794338	0.794017	0.794423	0.795114	0.79382	0.793943	0.793559	0.795293	0.794445	0.793404	0.792924	0.793763	0.793567	0.793298	0.794091	0.794149	0.793731	0.779334	0.783069	0.781696	0.785036	0.784096	0.781121	0.785314	0.781235	0.783607	0.781624	0.782501	0.784005	0.781338	0.781626	0.781997	0.780464	0.780523	0.78138	0.781712	0.782026	0.787303	0.784881	0.785629	0.785456	0.78373	0.783302	0.783202	0.78888	0.785953	0.786661	0.786736	0.786614	0.786498	0.786044	0.78584	0.786973	0.788635	0.786619	0.785603	0.783038	0.783298	0.784243	0.782111	0.782045	0.784057	0.782128	0.785454	0.782021	0.782945	0.782216	0.780574	0.782368	0.783093	0.781922	0.78282	0.782283	0.784796	0.785467	0.784588	0.78501	0.785351	0.783376	0.783474	0.782961	0.783217	0.781468	0.786614	0.783971	0.783965	0.783975	0.784151	0.78295	0.783186	0.782657	0.782044	0.783299	0.78526	0.788004	0.785383	0.787025	0.788798	0.788456	0.78495	0.784795	0.784857	0.78421	0.784629
P_OFAV1	0.774951	0.837769	0.838449	0.835454	0.836513	0.861238	0.859625	0.859749	1	0.985916	0.984472	0.982465	0.983694	0.886145	0.887388	0.886858	0.89543	0.897502	0.898133	0.892468	0.892343	0.893894	0.893053	0.892549	0.893345	0.893114	0.897365	0.898689	0.897843	0.898445	0.898369	0.900993	0.899668	0.899512	0.899337	0.899974	0.89909	0.899235	0.89659	0.896253	0.897744	0.896706	0.896924	0.897381	0.900184	0.900103	0.898547	0.797777	0.797471	0.797351	0.797395	0.795328	0.795571	0.795631	0.795705	0.795492	0.798638	0.795297	0.796093	0.795968	0.801798	0.79656	0.800645	0.799594	0.79638	0.795822	0.796599	0.796217	0.794117	0.793037	0.795318	0.795108	0.794488	0.796455	0.796927	0.796776	0.797538	0.795407	0.796543	0.795691	0.795582	0.794635	0.794578	0.793278	0.794233	0.793276	0.792596	0.796303	0.797163	0.79691	0.79621	0.798162	0.797676	0.797316	0.797306	0.797739	0.796561	0.797332	0.80063	0.798705	0.796757	0.796633	0.796431	0.795174	0.795222	0.792679	0.792434	0.790275	0.789929	0.792054	0.793079	0.792145	0.79252	0.792752	0.793521	0.793496	0.798895	0.798681	0.792939	0.794284	0.793205	0.793603	0.793432	0.79454	0.794071	0.792138	0.792976	0.796474	0.794316	0.793789	0.79354	0.793711	0.793265	0.793806	0.794011	0.793151	0.791054	0.793376	0.792097	0.793709	0.793689	0.79267	0.792955	0.794225	0.793049	0.794029	0.79311	0.79353	0.791987	0.777655	0.780693	0.789991	0.784463	0.784306	0.781658	0.781019	0.787977	0.779486	0.791191	0.780236	0.781548	0.781232	0.795214	0.781582	0.780219	0.796418	0.795333	0.79698	0.797985	0.784005	0.780871	0.784161	0.785046	0.782192	0.783571	0.782115	0.787129	0.785961	0.78592	0.785873	0.785036	0.786576	0.786354	0.786107	0.787928	0.791079	0.782519	0.783131	0.782163	0.782225	0.782785	0.781398	0.781425	0.784834	0.783493	0.783474	0.780773	0.781184	0.783158	0.783796	0.781249	0.796752	0.784871	0.782612	0.7823	0.783669	0.784271	0.783588	0.783926	0.784259	0.786267	0.782228	0.783159	0.782574	0.783103	0.786106	0.785305	0.78389	0.784012	0.784555	0.78587	0.790784	0.781956	0.781342	0.783566	0.781925	0.782494	0.784163	0.784161	0.783767	0.785509	0.783686	0.790775	0.793789	0.792999	0.793339
P_Ps84H4	0.774826	0.845648	0.840729	0.835343	0.836568	0.861753	0.861195	0.861151	0.986286	1	0.982341	0.983093	0.983433	0.887532	0.886295	0.886271	0.896638	0.898615	0.898375	0.892336	0.894027	0.892833	0.894872	0.897426	0.900303	0.899168	0.898423	0.90048	0.900785	0.904604	0.904243	0.897714	0.900667	0.901214	0.901269	0.900631	0.900874	0.900834	0.897729	0.899681	0.899857	0.897503	0.899642	0.899778	0.900595	0.902767	0.89928	0.797916	0.798364	0.799182	0.798084	0.802777	0.79683	0.796258	0.796271	0.795385	0.799599	0.796325	0.796628	0.796618	0.800125	0.796525	0.799235	0.802684	0.795883	0.795778	0.796697	0.796633	0.800362	0.799124	0.800378	0.798998	0.798393	0.797597	0.798247	0.800897	0.801362	0.798566	0.797583	0.797626	0.79708	0.794817	0.795101	0.794954	0.795411	0.793936	0.794208	0.796093	0.79607	0.795657	0.795122	0.797754	0.797429	0.798212	0.797644	0.796835	0.79511	0.795703	0.800891	0.797544	0.79598	0.798672	0.797845	0.795154	0.795321	0.794483	0.795998	0.793047	0.794792	0.792526	0.792769	0.792803	0.792288	0.792543	0.792609	0.793449	0.798125	0.798123	0.793726	0.795433	0.79462	0.79685	0.795739	0.79899	0.797987	0.793758	0.794845	0.79689	0.79536	0.79459	0.79537	0.79424	0.794302	0.7948	0.795015	0.796033	0.792488	0.794415	0.794808	0.795967	0.79426	0.794138	0.793974	0.794885	0.79418	0.794302	0.795286	0.793405	0.793495	0.779932	0.781124	0.788289	0.782543	0.785387	0.781619	0.780792	0.783301	0.780844	0.790621	0.780239	0.77958	0.781159	0.787507	0.780046	0.779179	0.787772	0.788655	0.78752	0.789175	0.780729	0.782576	0.782953	0.782399	0.782604	0.784561	0.783772	0.787806	0.786828	0.78779	0.785055	0.785576	0.78491	0.784208	0.78471	0.785381	0.789473	0.784007	0.78062	0.78379	0.781399	0.781505	0.78205	0.783097	0.785023	0.783388	0.785455	0.782505	0.781708	0.785783	0.785404	0.781636	0.788481	0.798695	0.779605	0.779505	0.783203	0.78356	0.782507	0.782819	0.784221	0.78585	0.781988	0.782018	0.784919	0.784029	0.7853	0.784758	0.783606	0.783815	0.783927	0.784054	0.791587	0.784602	0.781453	0.795523	0.783922	0.785634	0.798455	0.783906	0.796149	0.797024	0.784412	0.787095	0.788375	0.788912	0.788296
